, c51, double_q, dqn, iqn, prioritized, qrdqn, rainbow,
84, 14387.869816725055, 19050.535668739605, 15369.007649836643, 23606.434044572085, 26208.076757147683, 23212.884194949907, 76802.86328300509,
85, 14419.588544461192, 19888.573480066752, 14974.72820340427, 23425.957627591477, 29095.177563885205, 23864.307759811556, 76294.84745132597,
86, 14457.014378373307, 19692.32882636583, 14712.334030327853, 24059.504480031996, 28955.18687388689, 23226.97901326105, 77773.85518974849,
87, 14202.95779077606, 19091.665127148706, 14692.601915170142, 23913.028119039976, 28480.692560232485, 23299.020134712522, 78763.1079478098,
88, 14753.636277208938, 19505.658254013102, 14997.360621794525, 24228.438474093593, 31128.57498063481, 23480.560388473947, 78454.93515662568,
89, 14633.908792977862, 19717.127174509336, 15247.445373064567, 24764.203692102266, 31920.39516942438, 23984.301235996325, 78855.73611445974,
90, 14534.875258024136, 19836.30889944667, 15081.490766593673, 24275.952018230837, 31328.289397733508, 23669.215648846068, 78048.10988017314,
91, 14772.527087845538, 20545.29718889192, 14840.100093893354, 23894.84341442374, 30074.79561706137, 24353.16437593507, 77426.58109794892,
92, 15509.03301379007, 20033.512915209307, 14928.341373002138, 23793.135077635692, 31026.320441816566, 23491.878777978243, 79118.62290887783,
93, 15228.900617944146, 20130.168651092197, 14857.986967058896, 24613.533673302332, 32402.24028868394, 24313.723774309496, 79470.8903568877,
94, 14534.545630347571, 19927.61768790459, 14927.440993051574, 24659.89777208062, 33493.36259297661, 24288.65925289009, 79525.819034605,
95, 15161.612625896547, 20338.686875656706, 15613.735333376855, 23523.679511906033, 34610.40263470548, 24047.89332353292, 79742.58784617591,
96, 14308.784242729982, 19495.94126899455, 15461.63725600378, 24704.855803748484, 36055.843057940394, 24526.48419555758, 78842.5298436041,
97, 15478.47733816085, 20048.592622325647, 14863.692728884667, 24112.21799518978, 35367.683444666494, 23986.119869644946, 79796.79736617304,
98, 14470.134159206233, 20352.60673750838, 14731.213299528023, 24145.297855080098, 36742.32942976413, 24015.648262838236, 78968.52621052632,
99, 14498.235290248898, 19955.875568485775, 15208.877572977857, 25070.090945441676, 36893.12165993939, 24094.841661088096, 79794.50716141338,
100, 15764.780993051321, 19636.28232391277, 15699.042774396585, 24054.806362019324, 37937.836196200995, 23768.135163991858, 79622.99185760475,
